type	id	project_id	submitter_id	contributor	coverage	creator	data_type	date	description	format	language	publisher	relation	rights	source	subject	title	projects.id	projects.code
core_metadata_collection		cancer_commons_program-demo_data_project	submitter_1																demo_data_project
core_metadata_collection		cancer_commons_program-demo_data_project	submitter_2																demo_data_project
core_metadata_collection		cancer_commons_program-demo_data_project	submitter_3																demo_data_project
core_metadata_collection		cancer_commons_program-demo_data_project	submitter_4																demo_data_project
core_metadata_collection		cancer_commons_program-demo_data_project	submitter_5																demo_data_project
core_metadata_collection		cancer_commons_program-demo_data_project	submitter_6																demo_data_project
core_metadata_collection		cancer_commons_program-demo_data_project	submitter_7																demo_data_project
core_metadata_collection		cancer_commons_program-demo_data_project	submitter_8																demo_data_project
core_metadata_collection		cancer_commons_program-demo_data_project	submitter_9																demo_data_project
core_metadata_collection		cancer_commons_program-demo_data_project	submitter_10																demo_data_project
core_metadata_collection		cancer_commons_program-demo_data_project	submitter_11																demo_data_project
core_metadata_collection		cancer_commons_program-demo_data_project	submitter_12																demo_data_project
core_metadata_collection		cancer_commons_program-demo_data_project	submitter_13																demo_data_project
core_metadata_collection		cancer_commons_program-demo_data_project	submitter_14																demo_data_project
core_metadata_collection		cancer_commons_program-demo_data_project	submitter_15																demo_data_project
core_metadata_collection		cancer_commons_program-demo_data_project	submitter_16																demo_data_project
core_metadata_collection		cancer_commons_program-demo_data_project	submitter_17																demo_data_project
core_metadata_collection		cancer_commons_program-demo_data_project	submitter_18																demo_data_project
core_metadata_collection		cancer_commons_program-demo_data_project	submitter_19																demo_data_project
core_metadata_collection		cancer_commons_program-demo_data_project	submitter_20																demo_data_project
core_metadata_collection		cancer_commons_program-demo_data_project	submitter_21																demo_data_project
core_metadata_collection		cancer_commons_program-demo_data_project	submitter_22																demo_data_project
core_metadata_collection		cancer_commons_program-demo_data_project	submitter_23																demo_data_project
core_metadata_collection		cancer_commons_program-demo_data_project	submitter_24																demo_data_project
core_metadata_collection		cancer_commons_program-demo_data_project	submitter_25																demo_data_project
core_metadata_collection		cancer_commons_program-demo_data_project	submitter_26																demo_data_project
core_metadata_collection		cancer_commons_program-demo_data_project	submitter_27																demo_data_project
core_metadata_collection		cancer_commons_program-demo_data_project	submitter_28																demo_data_project
core_metadata_collection		cancer_commons_program-demo_data_project	submitter_29																demo_data_project
